date,reservations
11/25/20,-85.79%
11/26/20,-84.31%
11/27/20,-83.73%
11/28/20,-79.68%
11/29/20,-74.05%
11/30/20,-91.01%
12/1/20,-88.24%
12/2/20,-89.42%
12/3/20,-87.16%
12/4/20,-86.81%
12/5/20,-83.79%
12/6/20,-82.73%
12/7/20,-90.22%
12/8/20,-90.08%
12/9/20,-89.70%
12/10/20,-87.52%
12/11/20,-81.07%
12/12/20,-78.30%
12/13/20,-75.89%
12/14/20,-96.24%
12/15/20,-94.06%
12/16/20,-98.88%
12/17/20,-98.09%
12/18/20,-94.46%
12/19/20,-91.47%
12/20/20,-93.23%
12/21/20,-94.53%
12/22/20,-92%
12/23/20,-88.63%
12/24/20,-90.36%
12/25/20,-94.90%
12/26/20,-93.39%
12/27/20,-91.05%
12/28/20,-89.74%
12/29/20,-92.39%
12/30/20,-85.65%
12/31/20,-80.87%
1/1/21,-91.02%
1/2/21,-83.40%
1/3/21,-93.44%
1/4/21,-91.60%
1/5/21,-92.68%
1/6/21,-92.75%
1/7/21,-92.15%
1/8/21,-90.41%
1/9/21,-87.57%
1/10/21,-87.60%
1/11/21,-93.95%
1/12/21,-92.49%
1/13/21,-91.86%
1/14/21,-89.47%
1/15/21,-87.82%
1/16/21,-81.64%
1/17/21,-83.35%
1/18/21,-82.32%
1/19/21,-91.75%
1/20/21,-93.33%
1/21/21,-91.11%
1/22/21,-86.93%
1/23/21,-84.65%
1/24/21,-87.77%
1/25/21,-92.44%
1/26/21,-95.13%
1/27/21,-92.01%
1/28/21,-93.24%
1/29/21,-94.39%
1/30/21,-88.07%
1/31/21,-88.95%
2/1/21,-99.73%
2/2/21,-98.14%
2/3/21,-95.18%
2/4/21,-91.29%
2/5/21,-88.70%
2/6/21,-82.38%
2/7/21,-96.13%
2/8/21,-94.40%
2/9/21,-94.62%
2/10/21,-92.78%
2/11/21,-92.43%
2/12/21,-85.34%
2/13/21,-74.59%
2/14/21,-56.47%
2/15/21,-75.62%
2/16/21,-82.03%
2/17/21,-83.07%
2/18/21,-92.20%
2/19/21,-81.93%
2/20/21,-70%
2/21/21,-71.98%
2/22/21,-88.34%
2/23/21,-84.14%
2/24/21,-76.52%
2/25/21,-78.94%
2/26/21,-71.12%
2/27/21,-65.63%
2/28/21,-72.70%
3/1/21,-81.99%
3/2/21,-81.39%
3/3/21,-75.41%
3/4/21,-82.22%
3/5/21,-77.79%
3/6/21,-72.09%
3/7/21,-72.26%
3/8/21,-86.11%
3/9/21,-78.67%
3/10/21,-80.63%
3/11/21,-73.19%
3/12/21,-69.92%
3/13/21,-66.72%
3/14/21,-71.76%
3/15/21,-85.17%
3/16/21,-84.77%
3/17/21,-82.23%
3/18/21,-83.79%
3/19/21,-74.34%
3/20/21,-63.29%
3/21/21,-64.64%
3/22/21,-78.60%
3/23/21,-78.06%
3/24/21,-85.64%
3/25/21,-76.25%
3/26/21,-69.84%
3/27/21,-66.72%
