DATE,fs_emp
1/8/09,199.1155497
1/9/09,202.7789894
1/10/09,203.3421098
1/11/09,202.3648621
1/12/09,203.2866196
1/1/10,205.1732786
1/2/10,205.867394
1/3/10,207.4181819
1/4/10,210.0094271
1/5/10,209.9956753
1/6/10,210.9065636
1/7/10,212.9164317
1/8/10,214.1820032
1/9/10,214.2731214
1/10/10,216.4811968
1/11/10,216.9436417
1/12/10,219.1511073
1/1/11,221.2240091
1/2/11,222.6115777
1/3/11,224.0364478
1/4/11,225.6313638
1/5/11,226.1801376
1/6/11,227.0547069
1/7/11,228.3678851
1/8/11,229.7350633
1/9/11,231.6406148
1/10/11,232.0930824
1/11/11,234.4957267
1/12/11,234.7730678
1/1/12,237.1924224
1/2/12,240.6159962
1/3/12,241.7784598
1/4/12,241.6392043
1/5/12,243.6094918
1/6/12,244.3077316
1/7/12,246.1479714
1/8/12,248.4345372
1/9/12,249.6894346
1/10/12,251.1977697
1/11/12,246.1999738
1/12/12,249.4864315
1/1/13,250.534471
1/2/13,252.1518814
1/3/13,253.6274369
1/4/13,256.7764034
1/5/13,257.3019992
1/6/13,259.8641795
1/7/13,260.4096274
1/8/13,261.5706773
1/9/13,263.6627286
1/10/13,264.6809907
1/11/13,267.2892495
1/12/13,268.5004178
1/1/14,267.9173896
1/2/14,270.4457262
1/3/14,271.4561037
1/4/14,272.5108875
1/5/14,275.997529
1/6/14,276.4798281
1/7/14,276.5585829
1/8/14,277.9711759
1/9/14,279.0699891
1/10/14,281.9717265
1/11/14,283.5653909
1/12/14,284.0680619
1/1/15,286.8317149
1/2/15,287.2618082
1/3/15,288.0060084
1/4/15,289.7654602
1/5/15,291.7376284
1/6/15,292.4983088
1/7/15,294.9912478
1/8/15,295.4434254
1/9/15,296.0115362
1/10/15,297.2730263
1/11/15,297.0353627
1/12/15,297.5658207
1/1/16,297.490327
1/2/16,297.3552514
1/3/16,299.6564837
1/4/16,302.0541301
1/5/16,298.4514881
1/6/16,300.756056
1/7/16,302.134429
1/8/16,303.0664491
1/9/16,304.1124205
1/10/16,303.4928827
1/11/16,305.4515272
1/12/16,306.6237008
1/1/17,308.7447758
1/2/17,310.1625697
1/3/17,310.9050935
1/4/17,312.5485877
1/5/17,315.6824583
1/6/17,316.1497955
1/7/17,315.2277791
1/8/17,318.0555894
1/9/17,318.2911959
1/10/17,319.3600888
1/11/17,318.9528968
1/12/17,318.8481313
1/1/18,318.1112215
1/2/18,318.0479908
1/3/18,318.8923907
1/4/18,317.8153117
1/5/18,317.7461257
1/6/18,318.25485
1/7/18,316.9400214
1/8/18,316.3415113
1/9/18,316.0634654
1/10/18,316.8172024
1/11/18,316.770431
1/12/18,317.9714816
1/1/19,317.930883
1/2/19,318.0485487
1/3/19,318.7598767
1/4/19,319.4161237
1/5/19,319.1815257
1/6/19,319.199236
1/7/19,320.2443217
1/8/19,320.0707558
1/9/19,320.5863794
1/10/19,319.6996315
1/11/19,321.1505994
1/12/19,321.3817832
1/1/20,319.1973704
1/2/20,321.0832213
1/3/20,296.1279821
1/4/20,87.53258341
1/5/20,111.8936862
1/6/20,121.9632238
1/7/20,145.3000659
1/8/20,162.8484119
1/9/20,167.6111008
1/10/20,176.5885016
1/11/20,176.5590239
1/12/20,158.2305626
1/1/21,161.7038208
